sku,group_description,requires_canvas_mask,requires_clipping_mask,print_size_config_id,total_prints,width,height,dpi,background_colour,print_background_colour,forced_orientation,has_canvas_mask_safe_area	,canvas_mask,clipping_mask,overlay_mask,print_template_id,notes_background_colour,notes_description,
DDV-43KT-WL-BRANDED-CMS,DDV-43KT,0,0,0,1,596,625,300,,0,1,0,,null,null,192,black,Digital Display Totem,
DDV-43KT-WL-BRANDED-CMS-3YRS,DDV-43KT,0,0,0,1,596,625,300,,0,1,0,,null,null,192,black,Digital Display Totem,
DDV-43WT-BRANDED,DDV-43WT,0,0,0,1,596,625,300,,0,1,0,,null,null,192,black,Digital Display Totem,
DDV-43WT-BRANDED-CMS,DDV-43WT,0,0,0,1,596,625,300,,0,1,0,,null,null,192,black,Digital Display Totem,
DDV-43WT-BRANDED-CMS-3YRS,DDV-43WT,0,0,0,1,596,625,300,,0,1,0,,null,null,192,black,Digital Display Totem,
DDV-43WT-WL-BRANDED,DDV-43WT,0,0,0,1,596,625,300,,0,1,0,,null,null,192,black,Digital Display Totem,
DDV-43WT-WL-BRANDED-CMS,DDV-43WT,0,0,0,1,596,625,300,,0,1,0,,null,null,192,black,Digital Display Totem,
DDV-43WT-WL-BRANDED-CMS-3YRS,DDV-43WT,0,0,0,1,596,625,300,,0,1,0,,null,null,192,black,Digital Display Totem,
DDV-49KT-BRANDED,DDV-49KT,0,0,0,1,675,725,300,,0,1,0,,null,null,326,black,Digital Display Totem,
DDV-49KT-CMS-1-BRANDED,DDV-49KT,0,0,0,1,675,725,300,,0,1,0,,null,null,326,black,Digital Display Totem,
DDV-49KT-CMS-3-BRANDED,DDV-49KT,0,0,0,1,675,725,300,,0,1,0,,null,null,326,black,Digital Display Totem,
DDV-49KT-WL-BRANDED,DDV-49KT,0,0,0,1,675,725,300,,0,1,0,,null,null,326,black,Digital Display Totem,
DDV-49KT-WL-CMS-1-BRANDED,DDV-49KT,0,0,0,1,675,725,300,,0,1,0,,null,null,326,black,Digital Display Totem,
DDV-49KT-WL-CMS-3-BRANDED,DDV-49KT,0,0,0,1,675,725,300,,0,1,0,,null,null,326,black,Digital Display Totem,
SBP-22B-BRANDED,SBP-22B,0,0,0,1,227,98,300,,0,0,0,,null,null,338,blue,Plastic Shopping Basket,
SBP-22G-BRANDED,SBP-22G,0,0,0,1,227,98,300,,0,0,0,,null,null,338,green,Plastic Shopping Basket,
SBP-22K-BRANDED,SBP-22K,0,0,0,1,227,98,300,,0,0,0,,null,null,338,black,Plastic Shopping Basket,
SBP-22R-BRANDED,SBP-22R,0,0,0,1,227,98,300,,0,0,0,,null,null,338,red,Plastic Shopping Basket,
SBP38R-BRANDED,SBP38R,0,0,0,1,180,40,300,,0,0,0,,null,null,331,red,Wheeled Shopping Basket,
ABC3A1-BRANDED,ABC3A1,1,1,0,2,594,841,150,,0,0,1,,null,null,336,black,Reversible Chalk A Board,
ABC3A1DS-BRANDED,ABC3A1DS,1,1,0,4,594,841,150,,0,0,1,,null,null,336,black,Reversible Chalk A Board,curved top
ABC3A2-BRANDED,ABC3A2,1,1,0,2,420,594,150,,0,0,1,,null,null,337,black,Reversible Chalk A Board,curved top
ABC3A2DS-BRANDED,ABC3A2DS,1,1,0,4,420,594,150,,0,0,1,,null,null,337,black,Reversible Chalk A Board,curved top
ADP1200K-FL-BRANDED,ADP1200K,1,0,0,1,300,1200,300,,0,?,1,,null,null,317,black,Acrylic Display Pedestal,
ADP900K-FL-BRANDED,ADP900K,1,0,0,1,300,900,300,,0,?,1,,null,null,316,black,Acrylic Display Pedestal,
AFS1-PRINTED,AFS1,1,0,0,2,150,750,150,,0,1,1,,null,null,283,white,Aisle Sign Fixing,
AFS3-50-PRINTED,AFS3,1,0,0,2,150,750,150,,0,1,1,,null,null,284,white,Aisle Sign Fixing,
AFS3-PRINTED,AFS3,1,0,0,2,150,750,150,,0,1,1,,null,null,284,white,Aisle Sign Fixing,
AFS5-PRINTED,AFS5,1,0,0,2,150,750,150,,0,1,1,,null,null,284,white,Aisle Sign Fixing,
